,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
105,105,105,105,105,105,105,105,105,105,105,105,"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (B),SP17,162,81,91.8%,86.3%,12.78,B+ (3.52),B- (2.98),2.98,cse,12
106,106,106,106,106,106,106,106,106,106,106,106,"Langlois, Marina",CSE 12 - Basic Data Struct & OO Design (C),SP17,180,94,94.3%,94.3%,12.31,B+ (3.30),B- (2.78),2.78,cse,12
107,107,107,107,107,107,107,107,107,107,107,107,"Kesden, Gregory M",CSE 120 - Princ/Computer Operating Systm (A),SP17,205,90,66.7%,31.0%,11.36,B- (2.89),B- (2.97),2.97,cse,12
108,108,108,108,108,108,108,108,108,108,108,108,"Voelker, Geoffrey M.",CSE 125 - Software Sys Design & Implemnt (A),SP17,32,10,100.0%,100.0%,15.83,A (4.00),A (4.00),4.0,cse,12
109,109,109,109,109,109,109,109,109,109,109,109,"Shacham, Hovav",CSE 127 - Intro to Computer Security (A),SP17,71,26,95.8%,95.8%,11.83,B- (2.77),B- (2.77),2.77,cse,12
110,110,110,110,110,110,110,110,110,110,110,110,"Langlois, Marina",CSE 12 - Basic Data Struct & OO Design (A),WI17,149,72,97.0%,95.5%,11.91,B+ (3.56),B- (2.97),2.97,cse,12
111,111,111,111,111,111,111,111,111,111,111,111,"Langlois, Marina",CSE 12 - Basic Data Struct & OO Design (B),WI17,155,68,96.6%,94.9%,10.87,B+ (3.50),B- (2.97),2.97,cse,12
112,112,112,112,112,112,112,112,112,112,112,112,"Langlois, Marina",CSE 12 - Basic Data Struct & OO Design (C),WI17,149,77,95.8%,94.4%,10.64,B+ (3.56),B- (2.97),2.97,cse,12
113,113,113,113,113,113,113,113,113,113,113,113,"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (A),WI17,175,58,90.2%,94.1%,11.05,B (3.24),B- (2.97),2.97,cse,12
114,114,114,114,114,114,114,114,114,114,114,114,"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (B),WI17,164,66,96.8%,96.8%,10.73,B (3.09),B- (2.97),2.97,cse,12
115,115,115,115,115,115,115,115,115,115,115,115,"Snoeren, Alex C.",CSE 123 - Computer Networks (A),WI17,97,35,93.8%,100.0%,9.21,B+ (3.30),B (3.23),3.23,cse,12
116,116,116,116,116,116,116,116,116,116,116,116,"Porter, George M",CSE 124 - Networked Services (A),WI17,173,50,100.0%,97.9%,7.61,B+ (3.53),B+ (3.49),3.49,cse,12
117,117,117,117,117,117,117,117,117,117,117,117,"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),FA16,131,71,97.0%,92.4%,14.25,B+ (3.44),B- (3.00),3.0,cse,12
118,118,118,118,118,118,118,118,118,118,118,118,"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (B),FA16,112,53,95.7%,97.9%,14.29,B+ (3.40),B- (3.00),3.0,cse,12
119,119,119,119,119,119,119,119,119,119,119,119,"Langlois, Marina",CSE 12 - Basic Data Struct & OO Design (C),FA16,118,58,94.3%,94.3%,12.58,B+ (3.42),B- (2.83),2.83,cse,12
120,120,120,120,120,120,120,120,120,120,120,120,"Voelker, Geoffrey M.",CSE 120 - Princ/Computer Operating Systm (A),FA16,242,96,92.1%,96.6%,10.11,B (3.27),B (3.08),3.08,cse,12
121,121,121,121,121,121,121,121,121,121,121,121,"Zhou, Yuan-Yuan",CSE 120 - Princ/Computer Operating Systm (B),FA16,137,64,82.3%,83.9%,10.87,B (3.12),B- (2.84),2.84,cse,12
122,122,122,122,122,122,122,122,122,122,122,122,"Savage, Stefan",CSE 123 - Computer Networks (B),FA16,103,34,89.7%,89.7%,10.09,B (3.23),B- (2.77),2.77,cse,12
123,123,123,123,123,123,123,123,123,123,123,123,"Shacham, Hovav",CSE 127 - Intro to Computer Security (B),FA16,48,16,93.3%,86.7%,11.97,C+ (2.40),B- (2.91),2.91,cse,12
124,124,124,124,124,124,124,124,124,124,124,124,"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (B),S216,32,29,92.9%,85.7%,16.0,B+ (3.67),B (3.17),3.17,cse,12
