,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
144,144,144,144,144,144,144,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),WI11,46,23,100.0%,54.5%,7.98,B+ (3.38),C+ (2.52),2.52,cse,11
145,145,145,145,145,145,145,"Krueger, Ingolf",CSE 110 - Software Engineering (A),WI11,70,38,84.2%,73.7%,7.24,B+ (3.33),B (3.18),3.18,cse,11
146,146,146,146,146,146,146,"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),FA10,88,46,95.6%,97.8%,12.23,B+ (3.53),B+ (3.34),3.34,cse,11
147,147,147,147,147,147,147,"Gillespie, Gary N",CSE 110 - Software Engineering (A),FA10,33,14,78.6%,92.9%,12.36,A- (3.86),B+ (3.52),3.52,cse,11
148,148,148,148,148,148,148,"Howden, William E.",CSE 111 - Objt. Oriented Software Design (A),FA10,41,17,88.2%,64.7%,3.91,B+ (3.41),B (3.16),3.16,cse,11
149,149,149,149,149,149,149,"Krueger, Ingolf",CSE 112 - Advanced Software Engineering (A),FA10,18,12,100.0%,100.0%,11.0,A- (3.83),,,cse,11
150,150,150,150,150,150,150,"Griswold, William G.",CSE 118 - Ubiquitous Computing (A),FA10,19,12,91.7%,100.0%,6.5,B+ (3.64),,,cse,11
151,151,151,151,151,151,151,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SU10,27,11,90.9%,81.8%,10.14,B (3.00),,,cse,11
152,152,152,152,152,152,152,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SP10,50,31,93.5%,87.1%,6.77,B (3.08),C+ (2.48),2.48,cse,11
153,153,153,153,153,153,153,"Dahlstrom, Dana B.",CSE 110 - Software Engineering (A),SP10,56,30,75.9%,51.7%,9.88,B+ (3.33),B- (2.74),2.74,cse,11
154,154,154,154,154,154,154,"Howden, William E.",CSE 111 - Objt. Oriented Software Design (A),SP10,29,11,63.6%,81.8%,5.23,B+ (3.55),B (3.04),3.04,cse,11
155,155,155,155,155,155,155,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),WI10,51,21,95.2%,80.0%,7.6,B- (2.83),C+ (2.59),2.59,cse,11
156,156,156,156,156,156,156,"Krueger, Ingolf",CSE 110 - Software Engineering (A),WI10,107,61,86.9%,75.4%,7.9,B (3.28),B- (2.92),2.92,cse,11
157,157,157,157,157,157,157,"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),FA09,108,62,98.4%,95.1%,11.47,B+ (3.65),B+ (3.42),3.42,cse,11
158,158,158,158,158,158,158,"Ord, Richard",CSE 110 - Software Engineering (A),FA09,96,70,71.0%,92.8%,6.53,B+ (3.61),B (3.28),3.28,cse,11
159,159,159,159,159,159,159,"Howden, William E.",CSE 111 - Objt. Oriented Software Design (A),FA09,29,13,61.5%,61.5%,4.65,B+ (3.46),B- (2.85),2.85,cse,11
160,160,160,160,160,160,160,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SU09,23,8,75.0%,75.0%,12.5,B (3.00),,,cse,11
161,161,161,161,161,161,161,"Malani, Roshni",CSE 110 - Software Engineering (A),SU09,18,7,85.7%,57.1%,7.64,B (3.14),,,cse,11
162,162,162,162,162,162,162,"Kube, Paul Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SP09,41,11,72.7%,81.8%,8.32,B (3.18),B- (2.95),2.95,cse,11
163,163,163,163,163,163,163,"Krueger, Ingolf",CSE 110 - Software Engineering (A),SP09,63,33,78.8%,69.7%,10.5,B+ (3.30),C+ (2.50),2.5,cse,11
164,164,164,164,164,164,164,"Kube, Paul Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),WI09,47,18,88.9%,88.2%,10.72,B (3.29),B (3.00),3.0,cse,11
165,165,165,165,165,165,165,"Dahlstrom, Dana B.",CSE 110 - Software Engineering (A),WI09,48,38,84.2%,76.3%,7.64,B+ (3.50),B- (2.88),2.88,cse,11
166,166,166,166,166,166,166,"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),FA08,106,61,95.0%,96.7%,8.83,B+ (3.68),B (3.07),3.07,cse,11
167,167,167,167,167,167,167,"Dahlstrom, Dana B.",CSE 110 - Software Engineering (A),FA08,24,23,68.2%,95.5%,5.5,B+ (3.65),B (3.27),3.27,cse,11
168,168,168,168,168,168,168,"Krueger, Ingolf",CSE 112 - Software Engineerng (A),FA08,10,10,80.0%,100.0%,6.7,B+ (3.38),,,cse,11
169,169,169,169,169,169,169,"Griswold, William G.",CSE 118 - Ubiquitous Computing (A),FA08,13,12,100.0%,100.0%,3.95,B+ (3.64),,,cse,11
170,170,170,170,170,170,170,"Cicotti, Pietro",CSE 110 - Software Engineering (A),SU08,17,11,90.9%,81.8%,6.5,B+ (3.60),,,cse,11
171,171,171,171,171,171,171,"Kube, Paul Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SP08,26,13,100.0%,92.3%,7.73,B (3.22),C+ (2.61),2.61,cse,11
172,172,172,172,172,172,172,"Dahlstrom, Dana B.",CSE 110 - Software Engineering (A),SP08,51,36,88.2%,85.3%,8.5,B+ (3.63),B- (2.85),2.85,cse,11
173,173,173,173,173,173,173,"Howden, William E.",CSE 111 - Objt. Oriented Software Design (A),SP08,36,19,68.4%,68.4%,5.34,B+ (3.56),B (3.09),3.09,cse,11
174,174,174,174,174,174,174,"Kube, Paul Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),WI08,27,14,84.6%,83.3%,7.79,B (3.15),B- (2.81),2.81,cse,11
