,GPA,yearly_num,dept,num,index,Course
MGT 121B,3.5610502283105023,64,MGT,121,22,
MGT 127,3.582100313479624,72,MGT,127,23,
MGT 128R,3.5451020408163267,79,MGT,128,24,
MGT 129,3.4730379746835442,0,MGT,129,25,
MGT 131A,2.8819696010132994,216,MGT,131,26,
MGT 131B,3.182790697674419,139,MGT,131,27,
MGT 132,3.175749269005848,123,MGT,132,28,
MGT 133,3.245638418079096,0,MGT,133,29,
MGT 134,3.4642389006342493,26,MGT,134,30,
MGT 135,3.22843725335438,133,MGT,135,31,
MGT 136,3.497807832054905,123,MGT,136,32,
MGT 137,3.8682435597189695,68,MGT,137,33,
MGT 139,3.218815789473684,0,MGT,139,34,
MGT 143,3.44,0,MGT,143,35,
MGT 146,3.6344736842105267,0,MGT,146,36,
MGT 147,3.4355238095238096,26,MGT,147,37,
MGT 148,3.57,23,MGT,148,38,
MGT 153,3.3541257668711655,583,MGT,153,39,
MGT 158,3.448197674418605,77,MGT,158,40,
MGT 160,3.91,94,MGT,160,41,
MGT 162,3.740129449838188,82,MGT,162,42,
MGT 162R,3.734803493449782,390,MGT,162,43,
MGT 164,3.168508831521739,861,MGT,164,44,
MGT 164GS,3.7,0,MGT,164,45,
MGT 166,3.2170213523131674,552,MGT,166,46,
MGT 167,3.5001112061591106,207,MGT,167,47,
MGT 171,3.3952558139534883,199,MGT,171,48,
MGT 172,3.398609478324761,1330,MGT,172,49,
MGT 173,3.7237014563106796,332,MGT,173,50,
MGT 174,3.2551234567901237,0,MGT,174,51,
MGT 175,3.370622950819672,241,MGT,175,52,
MGT 176,3.5665217391304345,70,MGT,176,53,
MGT 181,3.1157510001212265,727,MGT,181,54,
MGT 183,3.203941176470588,147,MGT,183,55,
MGT 184,3.6544230769230768,59,MGT,184,56,
MGT 185,3.4465675675675675,97,MGT,185,57,
MGT 187,3.236471680594243,351,MGT,187,58,
MGT 189,3.36,113,MGT,189,59,
MMW 1,3.446771731917717,0,MMW,1,0,
MMW 2,3.0700967866821527,0,MMW,2,1,
MMW 3,3.1621158392434987,0,MMW,3,2,
MMW 4,3.1310785185185184,0,MMW,4,3,
MMW 4T,3.005,0,MMW,4,4,
MMW 5,3.1344387940428624,0,MMW,5,5,
MMW 5GS,3.136591506952273,0,MMW,5,6,
MMW 6,3.145761393108559,0,MMW,6,7,
MMW 6GS,3.139739204788371,0,MMW,6,8,
MMW 11,3.206713738834538,1157,MMW,11,9,
MMW 12,3.173412971542025,1082,MMW,12,10,
MMW 13,3.302133105802048,1037,MMW,13,11,
MMW 14,3.307430043528471,991,MMW,14,12,
MMW 14GS,3.1712228451296425,0,MMW,14,13,
MMW 15,3.368890535284312,896,MMW,15,14,
MMW 15GS,3.203260952380952,28,MMW,15,15,
MMW 21,3.131150112023898,0,MMW,21,16,
MMW 22,3.1571064204045736,0,MMW,22,17,
MMW 121,3.0408042076688155,53,MMW,121,18,
MMW 121R,3.4318092105263163,489,MMW,121,19,
MMW 122,3.141556244713843,501,MMW,122,20,
MUS 1A,3.661378308586185,346,MUS,1,0,
MUS 1B,3.522766373411535,96,MUS,1,1,
MUS 1C,3.5126174496644293,39,MUS,1,2,
